Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.05729360769561,-0.922644674527888,0.792190301875365,1.79204604555983,2.01948539561312,3.5063452848124,2.84932593436179,2.68275992118076,-8.3005165411776,5.73743721854339,6.82751087594069
Portugal,PRT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,96.7799987792969,..
Portugal,PRT,Trade (% of GDP),NE.TRD.GNFS.ZS,76.0508388667084,78.1144346199064,80.2823078763457,80.4908943813068,79.2742296253386,84.4391405215721,86.4287609308408,86.5647174091784,76.237488464863,85.6259080141689,101.605149369579
Portugal,PRT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-16850416516.8888,-8650582592.84018,-8621953199.87913,-2385447344.54807,-4166477908.08425,-8405018325.81703,-6392193344.65206,-8687999451.08216,-5734970610.29221,-9417422267.89324,-5801630114.04224
Portugal,PRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,60.33999749,62.0956,64.59,68.63286148,70.42356709,73.79121395,74.66096815,75.34637794,78.26166044,82.30902804,84.49690644
Portugal,PRT,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-12018221040.2605,-10813235609.959,-12807238884.0217,-10802485226.4269,-11062004202.2784,-15101799690.1417,-18415436455.87,-18226215737.4727,-14236118402.4798,-18745029889.1776,-27739239765.8956
Portugal,PRT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.92410769887828,2.09548269898385,2.07611116482919,2.09944392552801,2.06581098417221,2.09586857603127,2.03652988278957,2.08854854180033,2.1739396592118,2.15037213356086,1.85478953439666
Portugal,PRT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.77333854051586,0.274416666666663,-0.278153367467428,0.48793862390472,0.607397074641719,1.36861411643472,0.993715683468326,0.338178410046034,-0.0124383299575305,1.26565719069044,7.83269124233323
Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,..
Portugal,PRT,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,5.04577451561263,5.23124617610499,5.20194385742916,4.79737138026882,4.765530567241,4.80423294631466,4.83782368955154,4.83107959962256,4.59797039403462,4.81984252118929,5.15003667078916
Sweden,SWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.588304568990736,1.187775715906,2.65779827531642,4.48928158790491,2.07059315052096,2.56792452526476,1.95002284569983,1.98619587380391,-2.17021317885872,6.14702464708019,2.91177202844162
Sweden,SWE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Trade (% of GDP),NE.TRD.GNFS.ZS,85.2822510623587,80.8156652769752,82.9335316938536,83.7238145087279,82.3206450872032,84.9347494342818,89.1311983954621,91.4338289680865,83.2110028742464,88.2464014779394,102.924081161799
Sweden,SWE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,43.5102479611743,45.1695424481992,49.4545085693247,47.4343206265975,46.1880562107038,43.9475608495741,42.2624001047158,38.6717096874041,43.9940514490513,40.4789669588839,..
Sweden,SWE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,13221654816.0758,26576115126.5369,4819176705.87348,4645839623.08436,-14370211554.9121,15239796026.0174,14173567423.593,6379736740.78309,3728683448.03523,5950984335.51365,13430735730.8473
Sweden,SWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.17998801,94.7836,92.52,90.61019664,89.65094761,93.00626697,89.24696316,94.49344341,94.53943122,94.6703163,95.00970335
Sweden,SWE,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,21948268080.5973,18144355066.6396,16932363206.3826,11489864058.8475,8472024366.15154,11161670201.2963,11155611931.4952,20710340114.2778,21663262826.8432,27114259826.8025,20837632734.4405
Sweden,SWE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.54714585772275,1.46654001874605,1.44329819446845,1.44955838205644,1.39874442557708,1.44353822862843,1.39278662122906,1.39212483159621,1.32935387209544,1.28809355519435,1.46366135731503
Sweden,SWE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.888377506923638,-0.0442929701485858,-0.179638494114635,-0.0467847449832812,0.984269244577992,1.79449904665589,1.95353530127028,1.78415097403835,0.497367318853572,2.16319736447153,8.36929098869189
Sweden,SWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,..
Sweden,SWE,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.76788459581215,3.80898238836025,3.61508182054925,3.57591280685307,3.64066512796111,3.61375835945332,3.58457705185035,3.6182730361984,3.41810702178864,3.39811775496323,3.3658067475539
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.25022602347063,1.80252210082266,4.23220980614269,3.7073159793626,2.20100189293856,4.27197601620695,5.36234836176223,4.86422573511891,-4.53555083281567,7.08572084592274,4.5545566416229
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,99.0999984741211,..
Hungary,HUN,Trade (% of GDP),NE.TRD.GNFS.ZS,165.648667943528,164.346110357561,168.394596543722,167.320445037758,164.403927718725,165.228515608639,163.260512262857,160.751343279331,155.483814998738,159.705776527142,186.723914074254
Hungary,HUN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,94.1475132059307,94.7331902055697,98.6713309160176,96.3973535639551,96.77762376685,91.9872247713716,86.5499043370654,83.3671584163564,96.0046852251424,87.0023904631335,..
